gene	transcript	protein_change	score	pvalue	qvalue	info
BAP1	NA	NA	NA	NA	1	NA
BARD1	NA	NA	NA	NA	1	NA
BAZ1A	NA	NA	NA	NA	1	NA
BAZ1B	NA	NA	NA	NA	1	NA
BAZ2A	NA	NA	NA	NA	1	NA
BAZ2B	NA	NA	NA	NA	1	NA
BBS10	NA	NA	NA	NA	1	NA
BBS9	NA	NA	NA	NA	1	NA
BCAS3	NA	NA	NA	NA	1	NA
BCCIP	NA	NA	NA	NA	1	NA
BCL11A	NA	NA	NA	NA	1	NA
BCL9	NA	NA	NA	NA	1	NA
BCL9L	NA	NA	NA	NA	1	NA
BCLAF1	NA	NA	NA	NA	1	NA
BCOR	NA	NA	NA	NA	1	NA
BCORL1	NA	NA	NA	NA	1	NA
BDP1	NA	NA	NA	NA	1	NA
BEND3	NA	NA	NA	NA	1	NA
BEST3	NA	NA	NA	NA	1	NA
BICD2	NA	NA	NA	NA	1	NA
BIRC6	NA	NA	NA	NA	0.0452504102317314	NA
BLM	NA	NA	NA	NA	1	NA
BLZF1	NA	NA	NA	NA	1	NA
BMP2K	NA	NA	NA	NA	1	NA
BMPR2	NA	NA	NA	NA	1	NA
BMS1	NA	NA	NA	NA	0.948704878510352	NA
BNC1	NA	NA	NA	NA	1	NA
BNC2	NA	NA	NA	NA	1	NA
BOC	NA	NA	NA	NA	1	NA
BOD1L1	NA	NA	NA	NA	1	NA
BPIFB6	NA	NA	NA	NA	1	NA
BPTF	NA	NA	NA	NA	1	NA
BRAF	NA	NA	NA	NA	1	NA
BRAP	NA	NA	NA	NA	1	NA
BRCA1	NA	NA	NA	NA	1	NA
BRCA2	NA	NA	NA	NA	1	NA
BRD2	NA	NA	NA	NA	1	NA
BRD4	NA	NA	NA	NA	1	NA
BRD7	NA	NA	NA	NA	1	NA
BRD8	NA	NA	NA	NA	1	NA
BRDT	NA	NA	NA	NA	1	NA
BRF1	NA	NA	NA	NA	1	NA
BRINP2	NA	NA	NA	NA	1	NA
BRINP3	NA	NA	NA	NA	1	NA
BRIP1	NA	NA	NA	NA	1	NA
BRPF1	NA	NA	NA	NA	1	NA
BRPF3	NA	NA	NA	NA	1	NA
BRWD1	NA	NA	NA	NA	1	NA
BSN	NA	NA	NA	NA	1	NA
BTAF1	NA	NA	NA	NA	1	NA
BTBD11	NA	NA	NA	NA	1	NA
BTBD7	NA	NA	NA	NA	1	NA
BTN3A3	NA	NA	NA	NA	1	NA
BUB1	NA	NA	NA	NA	1	NA
BUB1B	NA	NA	NA	NA	1	NA
BUD13	NA	NA	NA	NA	1	NA
BZRAP1	NA	NA	NA	NA	1	NA
C10orf12	NA	NA	NA	NA	1	NA
C10orf90	NA	NA	NA	NA	1	NA
C11orf24	NA	NA	NA	NA	1	NA
C11orf30	NA	NA	NA	NA	1	NA
C11orf63	NA	NA	NA	NA	1	NA
C11orf82	NA	NA	NA	NA	1	NA
